name,stars,count_reviews,coordinate,latitude,longitude,category
Halte Busway Imigrasi Jakarta Selatan,4.4,38,"-6.2569383,106.8255124,17",-6.2569383,106.8255124,bus_station
Halte Busway Imigrasi Jakarta Timur,4.6,33,"-6.2146326,106.8797826,17",-6.2146326,106.8797826,bus_station
Halte Busway Indosiar,4.1,191,"-6.16338,106.7725651,17",-6.16338,106.7725651,bus_station
Halte Busway Istiqlal,4.6,81,"-6.17225,106.8283351,17",-6.17225,106.8283351,bus_station
Halte Busway JORR,4.3,3,"-6.2360723,106.7524157,17",-6.2360723,106.7524157,bus_station
Halte Busway Jakarta,4.5,20,"-6.1368926,106.8122883,17",-6.1368926,106.8122883,bus_station
Halte Busway Jati Padang,3.9,57,"-6.2881969,106.8223903,17",-6.2881969,106.8223903,bus_station
Halte Busway Jatinegara RS Premier,5.0,1,"-6.2220062,106.8656116,17",-6.2220062,106.8656116,bus_station
Halte Busway Jelambar,3.9,79,"-6.16655,106.7839251,17",-6.16655,106.7839251,bus_station
Halte Busway Jembatan Baru,4.4,100,"-6.154803,106.7277932,17",-6.154803,106.7277932,bus_station
Halte Busway Jembatan Besi,4.1,59,"-6.1520182,106.7923388,17",-6.1520182,106.7923388,bus_station
Halte Busway Jembatan Dua,4.0,35,"-6.14328,106.7909451,17",-6.14328,106.7909451,bus_station
Halte Busway Jembatan Gantung,4.2,146,"-6.1554966,106.7468693,17",-6.1554966,106.7468693,bus_station
Halte Busway Jembatan Merah,4.6,42,"-6.1467103,106.8317052,17",-6.1467103,106.8317052,bus_station
Halte Busway Jembatan Tiga,3.6,33,"-6.1333618,106.7900753,17",-6.1333618,106.7900753,bus_station
Halte Busway Juanda,4.5,1212,"-6.1679653,106.8279045,17",-6.1679653,106.8279045,bus_station
Halte Busway Kali Besar Barat,4.5,57,"-6.1354882,106.8087136,17",-6.1354882,106.8087136,bus_station
Halte Busway Kampung Melayu,4.0,387,"-6.2246731,106.8641557,17",-6.2246731,106.8641557,bus_station
